time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-01T04:39:38.930Z,14.4066,-93.074,46.42,4.5,mb,,165,1.341,0.81,us,us10006ub7,2016-10-01T04:58:26.040Z,"78km WSW of Puerto Madero, Mexico",earthquake,8.7,10.9,0.045,147,reviewed,us,us
2016-10-01T04:25:44.870Z,-23.5577,-179.9948,538.59,5.3,mb,,31,5.959,0.87,us,us10006uaw,2016-10-01T04:44:34.040Z,"South of the Fiji Islands",earthquake,9,7.2,0.027,460,reviewed,us,us
2016-10-01T02:33:03.660Z,-13.1676,167.1786,217.23,5.1,mb,,51,7.567,0.71,us,us10006uad,2016-10-01T02:51:28.040Z,"88km NNW of Sola, Vanuatu",earthquake,9.9,6.8,0.041,196,reviewed,us,us
2016-10-01T00:33:04.230Z,-23.7352,-174.8554,35,5.3,mb,,63,6.139,0.92,us,us10006u90,2016-10-01T01:23:49.040Z,"266km S of `Ohonua, Tonga",earthquake,7.4,1.3,0.042,189,reviewed,us,us
2016-09-30T23:06:48.850Z,19.8816,-74.3578,10,5,mb,,30,0.71,0.98,us,us10006u8f,2016-10-01T04:00:22.942Z,"53km SSE of Baracoa, Cuba",earthquake,6.5,1.9,0.027,443,reviewed,us,us
2016-09-30T22:45:26.530Z,-6.473,130.3004,135.42,4.8,mb,,44,1.797,0.69,us,us10006u85,2016-09-30T23:09:30.040Z,"198km NW of Saumlaki, Indonesia",earthquake,6.4,7.1,0.068,67,reviewed,us,us
2016-09-30T22:35:48.910Z,-3.999,-76.9413,105.61,4.7,mb,,84,1.764,0.89,us,us10006u80,2016-09-30T23:33:28.967Z,"96km NNW of Barranca, Peru",earthquake,6.8,6.5,0.039,203,reviewed,us,us
2016-09-30T21:00:46.950Z,-9.7261,111.7033,43.87,4.7,mb,,101,2.146,1.18,us,us10006u75,2016-09-30T21:17:50.040Z,"160km S of Ngulung Wetan, Indonesia",earthquake,8.4,8.2,0.08,47,reviewed,us,us
2016-09-30T20:56:42.650Z,-9.5442,111.7585,18.62,4.7,mb,,44,2.029,1.12,us,us10006u72,2016-09-30T21:47:46.040Z,"141km SSE of Ngulung Wetan, Indonesia",earthquake,7.5,4.1,0.075,54,reviewed,us,us
2016-09-30T19:49:33.930Z,-16.0994,-173.1403,10,5,mb,,67,2.544,1.46,us,us10006u6f,2016-09-30T21:25:09.040Z,"67km ESE of Hihifo, Tonga",earthquake,8.3,1.8,0.064,77,reviewed,us,us
